study_hours,sleep_hours,prev_gpa,target_gpa
15.5,6.8,3.5,3.75
5.2,8.1,2.1,2.05
20.1,7.5,4.0,4.10
10.0,5.5,3.0,3.15
8.3,6.2,2.8,2.90
18.0,7.0,3.9,3.88
12.5,5.9,3.3,3.40
6.0,7.8,2.5,2.55
14.8,6.5,3.7,3.65
11.2,7.2,3.1,3.19
9.5,6.7,2.9,3.00
17.1,7.4,3.8,3.80
4.5,8.5,2.0,1.95
13.3,6.1,3.4,3.45
7.0,7.6,2.6,2.70
16.5,6.9,3.6,3.70
19.0,7.1,3.95,4.00
5.8,8.2,2.2,2.20
11.5,5.8,3.2,3.30
14.0,6.6,3.55,3.60
9.0,7.9,2.7,2.80
17.8,7.3,3.85,3.95
4.0,8.0,1.9,1.80
13.8,6.3,3.45,3.50
7.5,6.4,2.75,2.75
16.0,7.0,3.65,3.75
18.5,7.2,3.9,4.05
5.0,8.3,2.15,2.15
10.5,5.7,3.1,3.20
15.0,6.7,3.6,3.68
8.0,7.7,2.6,2.65
17.5,7.1,3.8,3.90
4.3,8.4,2.0,1.90
13.0,6.0,3.3,3.40
7.2,6.5,2.7,2.72
16.3,6.9,3.7,3.80
19.5,7.6,4.0,4.15
5.5,8.0,2.2,2.30
11.0,5.9,3.2,3.35
14.5,6.6,3.5,3.58
8.5,7.8,2.8,2.95
17.3,7.4,3.75,3.85
4.8,8.1,2.05,2.00
13.5,6.2,3.4,3.48
7.8,6.3,2.85,2.85
16.8,7.1,3.7,3.85
18.8,7.3,3.95,4.10
5.3,8.2,2.25,2.25
10.8,6.0,3.15,3.25
15.2,6.8,3.6,3.72
8.8,7.5,2.9,3.05
17.6,7.2,3.8,3.92
4.6,8.3,2.0,1.85
13.2,6.1,3.35,3.42
7.3,6.6,2.75,2.78
16.4,7.0,3.65,3.78
19.2,7.5,4.05,4.20
5.6,8.1,2.3,2.35
11.1,5.8,3.25,3.38
14.7,6.7,3.5,3.62
8.2,7.6,2.8,2.92
17.2,7.3,3.85,3.98
4.2,8.4,1.95,1.88
13.4,6.0,3.4,3.46
7.6,6.4,2.8,2.82
16.6,7.1,3.75,3.88
19.8,7.4,4.1,4.25
5.1,8.2,2.1,2.10
10.3,5.6,3.05,3.10
15.7,6.9,3.65,3.76
8.4,7.7,2.7,2.78
17.9,7.5,3.9,4.02
4.1,8.5,1.9,1.78
13.1,6.2,3.3,3.44
7.9,6.5,2.9,2.95
16.9,7.0,3.8,3.90
19.1,7.3,4.0,4.18
5.4,8.3,2.15,2.22
11.3,5.7,3.2,3.32
14.9,6.7,3.55,3.68
8.1,7.8,2.75,2.85
17.7,7.4,3.9,4.00
4.4,8.6,1.95,1.83
13.6,6.1,3.45,3.52
7.7,6.6,2.85,2.90
16.2,6.9,3.7,3.82
19.7,7.6,4.05,4.22
5.7,8.0,2.3,2.40
11.4,5.9,3.3,3.40
14.6,6.5,3.6,3.70
8.6,7.9,2.95,3.10
17.4,7.2,3.9,3.96
4.9,8.2,2.05,2.08
13.9,6.2,3.5,3.60
7.4,6.3,2.7,2.68
16.7,7.2,3.8,3.92
19.3,7.4,4.1,4.28
5.9,8.1,2.35,2.45
11.6,6.0,3.35,3.45
